livre_id,livre_nom,livre_nombre_de_pages,livre_note,ISBN_10,ISBN_13,ISBN_defaut,ISBN_verifie,livre_date
2367,some like it wicked,350,4.6 ,,2307206892,,0,2005.0
2368,corpus medicorum graecorum,1120,,,9782600008471,,0,1997.0
2369,introduction to scholarship,384,1.0 ,,9782124654840,9780190405755,0,2015.0
2372,how the laser happened,208,,,2981205021,9780195153767,0,2002.0
2373,la metamorphose d'helen keller,130,5.0 ,2070555976,9782070555970,,0,2003.0
2374,influencia,123,2.5 ,,232222281X,9788491396901,0,2022.0
2375,night wind's woman,448,,,2714499848,9780843945072,0,1999.0
2376,the old english illustrated hexateuch,156,,,,,0,1974.0
2378,the innocents,256,,2258195039,,,0,1964.0
2379,quien eres tu y que haces aqui-el libro de io,233,4.0 ,,,9788412156409,0,2020.0
2380,handbook of venous disorders,744,,,2100878328,9780340938805,0,2009.0
2381,marsjanin,,4.4 ,2811215727,,9788328703643,0,2016.0
2382,les banques,126,,2707114790,,,0,1987.0
2383,bir dilek tut benim icin,471,3.0 ,2752903782,,9789752935310,0,2007.0
2384,nos reves de castelbay,434,4.0 ,2268031675,9782268031675,,0,1999.0
2385,female criminality,202,,,2343040362,,0,1987.0
2386,advanced cybersecurity technologies,105,,,,9780367562328,0,2021.0
2387,"applied calculus, sixth edition evaluation copy",660,,,,9781119399339,0,2017.0
2388,o codigo da inteligencia,238,3.0 ,,2262082243,9788560303984,0,2008.0
2389,ready player one (movie tie-in): a novel,400,,2266242334,,9780804190138,0,2018.0
2390,ready player two,464,3.0 ,2266324136,,9783596706549,0,2021.0
2391,ready player one,372,4.0 ,2266270087,,9780099560432,0,2012.0
2392,dark psychology 202,222,5.0 ,,2889456951,9781974096787,0,2017.0
2393,harmonica method,81,,,2213645914,9780947183844,0,2004.0
2394,clinical nursing procedures,717,3.7 ,,2994100770,9789351525332,0,2015.0
2395,complete thai,993,,,2322021598,9781444101904,0,2010.0
2398,i'm glad my mom died,320,4.3 ,,2213673942,9781982185848,0,2022.0
2400,computer networks,950,4.0 ,,9782744075216,,0,2011.0
2401,harvey angell,208,,,,9781849416566,0,2012.0
2402,"la vie, mode d'emploi : romans",328,,2253023906,,,0,
2403,the life of charlemagne,50,,,9782913944176,9780359839438,0,2019.0
2404,shadow of the past,187,3.5 ,,9782290205778,9780373708208,0,1979.0
2405,mia anasa orizontas,253,,,2280350769,,0,2004.0
2406,corso di russo,450,,,,9788820388461,0,2019.0
2407,democracy and its critics,397,,,220028375X,,0,1989.0
2408,notes from the underground,178,4.2 ,,,,0,2005.0
2409,apne apne ram.,380,4.0 ,,,,0,1992.0
2411,sensory design,356,,,2760539717,9780816639601,0,2004.0
2414,advertising and the mind of the consumer,320,,,2100725475,9780749429775,0,2000.0
2416,forty rules of love,368,4.2 ,2264054069,,9780241972939,0,2015.0
2417,yatharth geeta - shreemad bhagwad geeta (hindi),388,5.0 ,,,,0,1983.0
2418,islamic sociology,80,,,9782745916815,,0,1985.0
2419,kicking a dead horse,160,,,,,0,2008.0
2420,neo-colonialism,280,4.7 ,2070257754,,,0,1969.0
2421,how to play chromatic harmonica instantly,536,,,2213645914,9780936601779,0,1985.0
2422,curse of christmas,852,4.0 ,,2700280873,9781393663522,0,2020.0
2424,"the scoop on clothes, homes, and daily life in colonial america",32,,,,,0,2012.0
2425,decolonising the mind,114,1.0 ,,9782651028,,0,1991.0
2426,mel bay method for diatonic and chromatic harmonica,40,,,2213645914,9780786607723,0,2005.0
2427,because they wanted to,166,,,2749940680,9781439501863,0,2008.0
2428,freedom to learn,406,,,9782708118607,,0,1994.0
2429,mastery,336,3.9 ,,,,0,2012.0
2430,the greatest miracle in the world,108,3.0 ,,,,0,1977.0
2431,el misterio de la bala perdida,448,,,2280305356,9788467067088,0,2022.0
2432,la didactique a l'oeuvre,131,,,9791037637574,9781551300603,0,1995.0
2433,hari singh nalwa,208,,,,,0,1982.0
2434,assessment of children,790,,,9782804117986,,0,2018.0
2435,vita dei cinque fratelli e lettera a re enrico [di] s. bruno di querfurt.,168,,,,,0,1951.0
2437,mel bay irish melodies for harmonica,152,,,,9780786629206,0,1998.0
2438,masters and johnson on sex and human loving,598,4.0 ,,2402289708,,0,1986.0
2439,le sexe des sciences,205,,2862603937,9782862603933,,0,1992.0
2440,poetics of conduct,320,,,,9780231139212,0,2006.0
2441,paraboles et catastrophes,189,,208081186X,9782080811868,,0,1999.0
2442,how to save your marriage,112,,,2872319026,9781468089981,0,2011.0
2443,mel bay gig savers,16,,,,9780786668168,0,2005.0
2444,impostures intellectuelles,276,,2738105033,,,0,1997.0
2445,o poder do agora (portuguese edition),656,,2290020214,,9798714131998,0,
2446,mathematiques pour les techniques de l'informatique,404,,2920210815,9782920210813,,0,1987.0
2447,la violence de l'enseignement des mathematiques et des sciences,292,,2738457886,,,0,1997.0
2448,the encyclopedia of the harmonica,328,,,2213645914,,0,1998.0
2449,methodes quantitatives en sciences humaines,286,,2891059905,9782891059909,,0,2007.0
2450,misbehaving,432,4.2 ,,2021393984,9780393080940,0,2015.0
2451,e=mc2,192,,,2738142141,,0,2002.0
2452,sciences mathematiques,333,,2701112648,,,0,1989.0
2453,tomb of sand,725,3.8 ,,2221193474,9781911284611,0,2021.0
2454,"sciences exactes au moyen age, 1887-1921",382,,,9782876471870,,0,1922.0
2455,filsafat hukum dalam lintasan sejarah,326,,,,,0,1982.0
2456,responsive web design with html 5 & css,640,,,9782746089334,9780357423837,0,2020.0
2457,ikigai: the japanese secret to a long and happy life,208,3.6 ,2265116661,,9781786330895,0,2017.0
